Day,High_Temp_Hottest,High_Temp_Hottest_Year,High_Temp_Coldest,High_Temp_Coldest_Year,Low_Temp_Coldest,Low_Temp_Coldest_Year,Low_Temp_Hottest,Low_Temp_Hottest_Year
9-Feb,65,1965,22,1958,4,1978,44,2015
10-Feb,66,2009,20,1971,2,1979,40,1990
11-Feb,67,1959,23,1968,3,1971,43,1965
12-Feb,71,2017,22,2014,-2,1981,47,1965
13-Feb,66,1999,14,1955,-4,1969,38,1966
14-Feb,64,1990,23,2016,-2,1969,44,1984
15-Feb,66,1990,17,2015,1,2015,46,1990
16-Feb,72,1989,15,2015,0,1963,52,1990
17-Feb,70,1976,12,1958,-4,1973,50,1976
18-Feb,65,2011,5,1958,-2,1958,53,1976
19-Feb,65,1994,7,2015,-2,2015,44,1981
20-Feb,69,2017,21,2015,-5,2015,47,1991
21-Feb,71,1986,27,1959,0,1972,49,1953
22-Feb,65,1980,20,1968,-3,1963,44,2017
23-Feb,69,1980,20,1978,-1,1963,46,1990
24-Feb,73,1975,24,1999,6,1978,49,1975
25-Feb,71,1985,19,1967,-2,1967,48,1985
26-Feb,73,2000,17,1967,2,1968,44,1957
27-Feb,75,1977,24,1965,2,1963,46,1957
28-Feb,73,1996,23,2002,5,1963,49,1997
1-Mar,72,1976,28,1984,10,2002,46,2017
2-Mar,72,1976,16,1980,7,1980,46,1997
3-Mar,74,1992,23,1980,3,1980,53,1997
4-Mar,75,1976,20,1960,4,1980,48,2008
5-Mar,79,1976,18,1960,8,2002,56,2004
6-Mar,76,1976,18,1960,4,2015,56,2004
7-Mar,76,2009,24,1960,10,1960,54,1961
8-Mar,75,1994,26,1989,3,1960,51,2009
9-Mar,79,2000,18,1996,6,1996,50,2009
10-Mar,75,1974,19,1960,4,1996,49,1964
11-Mar,75,2006,30,1998,2,1969,57,2016
12-Mar,78,1990,27,1992,4,1969,54,2016
13-Mar,78,2006,29,1998,8,1998,53,2016
14-Mar,77,2007,32,1960,8,1998,51,2016
15-Mar,82,1973,22,1993,4,1993,55,1953
16-Mar,77,2016,29,1988,9,1993,56,1990
17-Mar,72,2012,29,2014,10,1970,58,1990
18-Mar,74,2011,28,1967,10,1967,50,2012
19-Mar,78,2012,31,1958,9,1967,49,2012
20-Mar,77,2012,30,1981,16,1981,50,2012
21-Mar,78,1968,30,2013,17,1971,47,1980
22-Mar,80,1968,31,1996,15,1986,56,2011
23-Mar,80,1966,32,1983,12,2004,50,1991
24-Mar,78,1966,32,1972,16,1971,50,2012
25-Mar,79,2007,34,2013,14,1960,51,1994
26-Mar,79,1954,35,2014,18,1983,49,2007
27-Mar,79,2007,37,2001,12,1955,51,2017
28-Mar,81,2007,32,2015,10,1982,51,2017
29-Mar,79,1989,33,1996,17,2015,60,1985
30-Mar,78,1998,40,2001,14,1964,59,1985
31-Mar,85,1985,29,1964,16,1964,52,1988
1-Apr,82,1986,38,2003,17,1969,55,1998
2-Apr,87,2010,40,1989,21,1968,56,1979
3-Apr,83,1963,36,1992,18,1971,55,1988
4-Apr,83,1963,32,1987,20,1975,53,1988
5-Apr,82,2010,32,1987,20,1975,54,1981
6-Apr,84,2010,34,1993,20,1975,51,1997
7-Apr,82,2010,30,1982,14,1982,54,2015
8-Apr,80,2001,39,2003,18,1982,56,2001
9-Apr,84,1959,36,1956,17,1972,53,1991
10-Apr,83,2013,37,1985,16,1985,55,1959
11-Apr,80,2011,38,1973,18,1974,56,2001
12-Apr,81,1977,40,1973,15,1973,55,2001
13-Apr,80,1977,41,1988,20,1975,55,2001
14-Apr,81,1977,34,1959,18,1973,58,2014
15-Apr,82,2006,39,1962,22,1973,60,2006
16-Apr,81,2012,38,1962,24,2014,57,1954
17-Apr,86,2002,42,1986,20,1974,57,2002
18-Apr,85,1976,38,2001,24,1983,53,2002
19-Apr,86,1976,37,1983,18,1983,54,2015
20-Apr,85,1976,37,1983,22,1983,59,2011
21-Apr,85,1985,43,1962,26,1962,55,2017
22-Apr,85,1985,44,1991,25,1983,56,1966
23-Apr,85,1985,38,1984,20,1982,59,1963
24-Apr,85,2001,40,2005,28,1974,57,2007
25-Apr,86,2009,46,2015,25,1967,59,2004
26-Apr,85,2009,45,1987,25,1972,59,2011
27-Apr,85,1994,41,1978,25,1974,63,2011
28-Apr,84,1990,50,1961,25,1976,60,1954
29-Apr,86,2017,45,1988,25,1967,59,1962
30-Apr,85,1994,47,1999,28,1971,60,2017
1-May,86,2007,52,1980,28,1971,59,2017
2-May,85,1962,51,1963,29,1978,61,2010
3-May,87,2012,49,1964,26,1981,62,2010
4-May,85,1959,45,1971,28,1986,59,1959
5-May,85,1955,48,1994,23,1973,60,1953
6-May,84,2014,47,1974,29,1968,58,1953
7-May,85,1959,47,1992,24,1968,61,1959
8-May,85,2000,44,1989,30,1989,59,2012
9-May,85,1966,51,1960,28,1983,60,2009
10-May,88,1963,48,1954,26,1966,61,2015
11-May,85,2015,49,1997,28,1977,65,1963
12-May,86,2014,47,1960,30,1969,60,2016
13-May,88,2014,46,1960,26,1969,60,1979
14-May,86,2000,52,1960,31,2013,62,1956
15-May,88,1985,48,1954,31,1996,60,2004
16-May,86,1982,49,1996,25,1973,58,1976
17-May,85,2017,56,2011,30,1983,60,2015
18-May,87,1962,51,2003,25,1973,62,2015
19-May,88,1996,49,2003,30,2002,61,2004
20-May,89,1996,50,1981,29,2002,60,2017
21-May,88,1996,52,1991,34,2002,63,1959
22-May,85,2011,51,1967,28,2002,61,2014
23-May,87,1953,52,1967,30,2002,70,1953
24-May,84,1994,57,2005,31,1967,63,1953
25-May,89,1953,56,1985,34,1967,64,1953
26-May,88,1953,56,1979,34,1988,67,1953
27-May,85,2010,58,1992,28,1972,62,1991
28-May,87,1955,54,1997,35,1974,64,1991
29-May,87,2006,52,1992,41,1994,61,2012
30-May,90,2011,49,1992,39,1964,62,2014
31-May,92,2011,56,1984,33,1984,69,1953
1-Jun,88,2011,51,1967,33,1972,64,1991
2-Jun,87,1991,51,1967,34,1966,65,1959
3-Jun,86,1961,53,1956,38,1966,64,2016
4-Jun,86,2008,57,1956,36,1969,62,2008
5-Jun,88,2008,62,1992,38,1988,65,2008
6-Jun,90,2008,65,2013,38,1988,66,1981
7-Jun,90,2008,58,1997,41,1998,65,2008
8-Jun,90,1984,59,1997,36,1977,64,2007
9-Jun,92,1953,63,1955,38,1977,64,1981
10-Jun,90,1999,58,1957,42,1988,70,1981
11-Jun,90,1984,60,1969,30,1972,66,1963
12-Jun,89,1985,63,1992,35,1972,65,2012
13-Jun,89,1954,69,2006,39,1974,66,2010
14-Jun,92,1954,63,1993,39,1968,65,2015
15-Jun,89,1954,60,1955,40,1978,66,1981
16-Jun,88,2015,60,1965,42,1978,67,2004
17-Jun,88,1994,56,1965,40,1974,67,2015
18-Jun,88,2014,62,2003,39,1974,65,2004
19-Jun,89,1984,62,1959,42,1999,65,2015
20-Jun,90,1994,59,1956,44,1999,68,2009
21-Jun,92,1953,63,1999,39,1968,66,2015
22-Jun,93,1964,68,2003,41,1992,66,2015
23-Jun,92,1988,63,1972,42,1980,67,2017
24-Jun,93,1988,63,1972,45,1983,67,1956
25-Jun,90,2002,65,1972,44,1979,66,2006
26-Jun,92,1988,65,1980,42,1979,66,2006
27-Jun,94,1988,63,1961,43,1985,69,1954
28-Jun,91,1954,63,1974,40,1970,69,1999
29-Jun,95,2012,63,1974,42,1974,69,1999
30-Jun,95,2012,70,1974,47,1974,65,1999
1-Jul,92,1959,70,1985,48,1988,67,1996
2-Jul,95,1954,66,1985,42,1988,67,1970
3-Jul,95,1954,64,2003,43,1988,67,1963
4-Jul,94,1966,68,1976,45,1971,69,1983
5-Jul,93,1966,64,2009,43,1967,66,2016
6-Jul,94,2010,65,1972,42,1972,68,2016
7-Jul,94,2010,67,1967,41,1972,67,1999
8-Jul,96,1988,70,1972,45,1972,67,2015
9-Jul,97,1988,75,2009,42,1961,66,2012
10-Jul,94,1993,70,1979,41,1961,70,1992
11-Jul,94,1988,69,1979,46,1961,67,1992
12-Jul,91,1966,67,2002,46,1983,71,2011
13-Jul,90,1983,58,1999,48,1963,72,2011
14-Jul,94,1983,64,1999,49,2001,70,1954
15-Jul,99,1954,71,1999,49,2001,72,1954
16-Jul,93,1983,67,2011,47,1967,68,1979
17-Jul,96,1988,70,1973,45,1970,66,2013
18-Jul,94,1988,65,1973,48,1976,67,2012
19-Jul,93,1977,69,2014,50,2009,71,1986
20-Jul,91,1983,70,2009,53,1971,69,1996
21-Jul,94,1983,66,1979,47,1968,68,2015
22-Jul,95,1983,68,1970,47,1974,70,2011
23-Jul,93,1991,64,1970,50,2007,71,1999
24-Jul,93,2016,65,2000,51,1971,68,2012
25-Jul,92,1987,64,2000,52,2003,68,1986
26-Jul,94,1987,65,2000,50,1983,69,2001
27-Jul,94,1993,71,2013,49,1962,68,2016
28-Jul,95,1966,69,2001,45,1962,68,2016
29-Jul,94,1953,63,2001,50,1983,69,2010
30-Jul,94,1953,67,1991,49,2014,69,2011
31-Jul,95,1953,64,1997,44,1997,69,1961
1-Aug,92,1999,67,2003,47,1997,70,1999
2-Aug,92,1953,71,2010,49,1998,67,2016
3-Aug,92,1975,71,2016,46,1976,68,2016
4-Aug,95,1987,70,2016,47,1976,69,2010
5-Aug,93,1987,65,1966,49,1998,70,1953
6-Aug,90,2002,68,2004,45,1957,70,2011
7-Aug,91,1955,66,1992,45,1957,69,2011
8-Aug,94,2007,69,1992,45,1957,69,1959
9-Aug,94,2007,66,2014,44,1989,68,1998
10-Aug,92,2010,64,1970,44,1989,69,2006
11-Aug,91,2010,61,1970,46,1962,68,2001
12-Aug,92,1980,68,2006,45,2008,67,2016
13-Aug,90,2005,64,1996,44,1983,68,2016
14-Aug,91,2002,66,1992,42,1983,68,2010
15-Aug,93,1995,70,2011,40,1964,68,2010
16-Aug,97,2007,67,1992,40,1979,68,1995
17-Aug,92,1988,63,1964,42,1979,68,2010
18-Aug,94,1988,69,1992,46,1979,70,1997
19-Aug,93,2007,61,1957,48,1977,67,2016
20-Aug,92,2007,66,1981,47,1964,68,1978
21-Aug,98,1983,68,1961,48,1998,69,2005
22-Aug,98,1983,62,1956,42,1956,67,2007
23-Aug,99,1983,70,1997,47,1969,71,2007
24-Aug,94,2007,70,2014,44,1997,68,2007
25-Aug,93,2007,70,1985,44,1997,66,1989
26-Aug,91,1993,66,1963,42,1970,67,2011
27-Aug,96,1959,62,2008,40,1968,69,2011
28-Aug,93,1953,66,2008,38,1968,68,1989
29-Aug,94,1953,65,2002,36,1986,69,2013
30-Aug,94,1953,67,1986,38,1986,68,2005
31-Aug,95,1953,64,1988,39,1986,68,1959
1-Sep,95,1953,64,2006,41,1999,68,2014
2-Sep,96,1953,62,1986,37,1967,68,1959
3-Sep,95,1953,62,1986,41,1987,66,2012
4-Sep,89,1954,64,2006,42,1997,68,2012
5-Sep,90,1954,63,1974,32,1982,68,1953
6-Sep,95,1954,60,1972,38,1997,66,1979
7-Sep,95,1954,60,1974,37,1988,66,1959
8-Sep,94,1954,65,1975,35,1988,66,2004
9-Sep,90,2007,64,1977,36,1988,63,2015
10-Sep,90,1983,64,1998,36,1956,69,2007
11-Sep,93,1983,60,2010,40,1979,65,2007
12-Sep,94,1983,60,1967,40,1977,66,1989
13-Sep,88,1998,59,1985,35,1967,66,1989
14-Sep,90,1998,57,1964,31,1975,64,1989
15-Sep,92,1998,55,1963,32,1985,63,2002
16-Sep,91,1998,54,2011,35,1985,64,2002
17-Sep,92,1991,58,2011,33,2000,63,1965
18-Sep,91,1954,54,1959,34,2000,64,1991
19-Sep,92,1978,61,1961,35,1973,65,1960
20-Sep,88,1978,55,1969,39,2004,65,2002
21-Sep,88,1978,58,1969,30,1962,66,1978
22-Sep,88,2010,58,1969,33,1983,66,1989
23-Sep,89,2010,58,1971,25,1983,64,1989
24-Sep,87,2010,49,1995,22,1983,63,1965
25-Sep,88,2007,51,1995,23,1983,64,2016
26-Sep,89,2007,52,1989,34,1983,64,2005
27-Sep,85,1998,49,2000,37,2001,61,1986
28-Sep,85,1998,49,1984,34,1991,64,1999
29-Sep,91,1953,47,1984,32,1970,66,2015
30-Sep,90,1953,51,1967,29,1967,64,2015
1-Oct,87,1953,49,2011,27,1993,65,1954
2-Oct,85,1953,48,1966,29,2003,60,1986
3-Oct,86,1954,44,1974,23,1974,63,1954
4-Oct,85,1954,49,1987,20,1974,59,2002
5-Oct,86,1954,54,2010,20,1974,63,2005
6-Oct,88,1954,46,1980,25,1988,63,2005
7-Oct,87,2007,48,2012,25,1988,64,2005
8-Oct,87,2007,42,2012,25,2001,59,1959
9-Oct,86,2007,49,2000,24,1978,61,1990
10-Oct,82,1990,44,2000,20,1978,58,2005
11-Oct,80,2010,48,1979,23,1964,59,2005
12-Oct,84,1954,46,1979,24,1964,58,2005
13-Oct,83,1954,42,1957,24,1988,59,2011
14-Oct,84,1962,48,1988,21,1988,61,2014
15-Oct,82,1985,46,2009,21,1988,57,1970
16-Oct,80,1992,48,2009,24,1979,58,1968
17-Oct,80,1989,47,2009,26,1970,58,1968
18-Oct,80,1953,40,2009,22,1970,60,1968
19-Oct,83,2016,44,1966,25,1970,60,1968
20-Oct,82,1985,42,1972,18,1972,57,1984
21-Oct,81,1993,38,1989,19,1972,58,1984
22-Oct,79,1979,44,1988,20,1974,62,1984
23-Oct,79,2015,42,2006,18,1997,62,2007
24-Oct,78,2012,41,2006,15,1969,57,2007
25-Oct,80,2001,42,2005,15,1969,57,1984
26-Oct,75,2004,41,1962,20,2013,54,1984
27-Oct,79,1963,35,1962,13,1962,55,2004
28-Oct,80,1984,37,2001,18,1976,54,2004
29-Oct,78,2016,38,2012,16,1969,58,1984
30-Oct,80,2004,36,2012,15,1969,54,2009
31-Oct,77,2003,38,1954,20,1975,62,2004
1-Nov,82,2004,38,1993,24,1975,57,1961
2-Nov,79,2004,35,1993,20,1976,57,1971
3-Nov,79,2003,38,1954,20,1954,56,1971
4-Nov,79,2003,33,1954,19,1966,60,1961
5-Nov,78,2003,37,1997,17,1995,61,1977
6-Nov,79,1961,36,2012,13,1967,60,1977
7-Nov,76,1975,35,1992,15,1967,55,1977
8-Nov,78,1975,38,1960,12,1971,57,1996
9-Nov,78,1975,30,1976,14,1976,52,2000
10-Nov,78,1975,34,1956,16,1973,54,1977
11-Nov,74,2006,35,1973,10,1973,56,2002
12-Nov,73,1985,29,1987,17,1973,56,2003
13-Nov,70,2005,34,1968,15,1983,46,1985
14-Nov,73,1958,30,2014,9,1986,53,2005
15-Nov,78,1993,32,1976,12,2014,60,2005
16-Nov,72,1991,31,1995,10,1967,55,1993
17-Nov,75,1955,33,1997,15,1970,54,1964
18-Nov,75,2016,26,2014,14,1997,53,1964
19-Nov,77,1958,32,2008,13,2014,54,1954
20-Nov,72,1985,34,2000,15,1969,52,1991
21-Nov,75,1985,29,2008,13,1984,59,1991
22-Nov,70,2003,28,2000,13,1964,58,1991
23-Nov,68,2003,30,1971,10,1971,51,1999
24-Nov,69,1998,27,2013,8,1971,56,1979
25-Nov,75,1973,25,1970,0,1970,56,1979
26-Nov,70,1973,28,1956,8,1971,54,1979
27-Nov,71,1990,22,1977,10,1974,47,1965
28-Nov,73,2001,33,2014,16,1977,56,1985
29-Nov,73,2001,30,2003,11,1955,51,2015
30-Nov,71,1991,24,1959,10,1976,56,2001
1-Dec,72,2006,22,1976,6,1976,50,1991
2-Dec,66,1970,29,1964,8,1976,50,1991
3-Dec,71,1982,26,1979,10,1979,47,1991
4-Dec,68,1982,24,1985,5,1966,50,1982
5-Dec,70,2001,24,2002,2,1974,52,1982
6-Dec,75,2001,24,2010,4,1974,51,2011
7-Dec,71,1998,22,2010,-1,2002,45,2004
8-Dec,72,1998,22,1977,2,1995,50,1956
9-Dec,70,1980,26,1989,1,1995,49,1991
10-Dec,67,2007,24,1981,5,1995,50,2007
11-Dec,71,2007,18,1995,4,1995,45,1971
12-Dec,71,2015,21,1958,-4,1962,45,2015
13-Dec,67,1979,15,1962,-5,1962,44,2007
14-Dec,70,1984,14,1960,-4,1962,49,1991
15-Dec,69,1984,16,1985,2,1962,44,2008
16-Dec,75,1984,21,1968,4,1989,50,1971
17-Dec,70,1971,14,1989,0,1989,45,1971
18-Dec,70,1984,20,1989,5,1973,47,1984
19-Dec,68,1984,19,1985,0,1985,48,1984
20-Dec,67,1984,19,2004,0,2004,47,1984
21-Dec,66,1978,19,1985,3,1996,45,1956
22-Dec,64,2013,10,1985,-8,1985,52,2013
23-Dec,64,1990,14,1989,-10,1989,55,1990
24-Dec,64,2015,19,1960,-4,1989,52,2015
25-Dec,68,1964,13,1983,-8,1983,51,2015
26-Dec,64,1982,9,1983,-8,1985,51,2015
27-Dec,73,2015,20,1985,-6,1985,52,2015
28-Dec,66,1984,28,1995,6,1977,42,1959
29-Dec,73,1984,27,1995,8,1985,49,1954
30-Dec,68,1984,26,1961,-2,1983,50,1984
31-Dec,65,1992,20,2000,4,1983,43,1992
